Rk,Tm,#1,#2,#3,#4,#5,Closer,#2,#3,#4
1,Arizona Diamondbacks,M.Kelly (2.49),M.Bumgarner (1.43),Z.Gallen (2.16),C.Smith (0.72),T.Widener (0.84),J.Soria (0.28),J.Mantiply (-0.01),T.Clarke (0.02),S.Crichton (-0.69)
2,Atlanta Braves (W),C.Morton (4.08),M.Fried (4.39),I.Anderson (2.92),D.Smyly (0.78),H.Ynoa (1.41),W.Smith (1.59),T.Matzek (1.93),L.Jackson (2.31),A.Minter (0.31)
3,Baltimore Orioles,M.Harvey (-0.62),J.Means (3.71),J.López (0.06),K.Akin (-0.28),B.Zimmermann (0.69),C.Sulser (2.35),D.Tate (0.92),T.Scott (0.00),P.Fry (-0.55)
4,Boston Red Sox,N.Eovaldi (4.45),E.Rodriguez (1.75),N.Pivetta (2.58),G.Richards (0.28),M.Pérez (0.51),M.Barnes (1.14),A.Ottavino (0.81),J.Taylor (1.28),H.Sawamura (0.76)
5,Chicago Cubs,K.Hendricks (0.89),Z.Davies (-0.95),A.Alzolay (1.01),A.Mills (-0.41),J.Arrieta (-2.07),C.Kimbrel (2.47),R.Brothers (-0.24),D.Winkler (-0.14),R.Tepera (1.10)
6,Chicago White Sox,D.Cease (2.92),L.Giolito (4.20),D.Keuchel (-0.01),L.Lynn (5.34),C.Rodón (5.07),L.Hendriks (2.59),J.Ruiz (1.07),A.Bummer (0.49),G.Crochet (1.25)
7,Cincinnati Reds,L.Castillo (4.47),T.Mahle (5.14),W.Miley (5.54),S.Gray (3.31),V.Gutiérrez (1.88),A.Garrett (-0.27),H.Hembree (-0.54),L.Sims (0.71),S.Doolittle (0.65)
8,Cleveland Guardians,Z.Plesac (1.23),T.McKenzie (1.08),C.Quantrill (3.89),A.Civale (2.18),E.Morgan (0.37),E.Clase (2.86),B.Shaw (1.25),J.Karinchak (0.98),N.Wittgren (-0.03)
9,Colorado Rockies,G.Márquez (2.31),J.Gray (1.48),A.Senzatela (1.77),K.Freeland (1.96),A.Gomber (0.62),D.Bard (-0.35),C.Estévez (0.31),T.Kinley (0.33),Y.Almonte (-1.09)
10,Detroit Tigers,C.Mize (3.31),T.Skubal (1.74),J.Ureña (-0.54),W.Peralta (2.01),M.Manning (-0.37),G.Soto (1.38),J.Cisnero (0.36),M.Fulmer (1.93),J.Jiménez (-0.50)
11,Houston Astros (RU),Z.Greinke (1.19),L.Garcia (2.62),L.McCullers (3.39),J.Odorizzi (0.64),F.Valdez (2.49),R.Pressly (1.89),R.Stanek (0.48),B.Raley (-0.43),B.Taylor (0.32)
12,Kansas City Royals,M.Minor (1.08),B.Singer (0.06),B.Keller (-0.26),K.Bubic (1.31),D.Lynch (-0.15),S.Barlow (2.85),J.Staumont (1.53),J.Brentz (0.44),G.Holland (0.05)
13,Los Angeles Angels,S.Ohtani (4.08),D.Bundy (-0.29),A.Heaney (0.80),A.Cobb (1.63),J.Suarez (1.79),R.Iglesias (2.79),S.Cishek (1.16),M.Mayers (1.45),J.Guerra (-0.36)
14,Los Angeles Dodgers,W.Buehler (6.63),J.Urías (4.44),C.Kershaw (2.11),T.Bauer (3.00),T.Gonsolin (1.15),K.Jansen (2.29),B.Treinen (2.34),P.Bickford (1.14),J.Kelly (0.70)
15,Miami Marlins,S.Alcantara (4.08),T.Rogers (3.46),P.López (2.76),Z.Thompson (0.93),J.Luzardo (-0.63),D.Floro (1.45),A.Bass (0.09),R.Bleier (1.15),A.Bender (1.23)
16,Milwaukee Brewers,B.Woodruff (5.64),C.Burnes (5.58),F.Peralta (3.99),A.Houser (2.03),B.Anderson (0.20),J.Hader (3.35),B.Boxberger (1.16),B.Suter (0.61),D.Williams (1.63)
17,Minnesota Twins,M.Pineda (1.55),K.Maeda (0.34),J.Berríos (1.87),B.Ober (1.17),J.Happ (-1.73),A.Colomé (-0.65),J.Alcala (0.29),C.Thielbar (1.22),T.Duffey (1.19)
18,New York Mets,M.Stroman (3.36),T.Walker (0.50),T.Megill (0.62),J.deGrom (4.44),D.Peterson (-0.45),E.Díaz (1.04),T.May (0.45),J.Familia (0.02),M.Castro (0.56)
